  NO     TB   C1    K1   C2    K2   F
 791  14112    3  4736    0  4672   0
 792  14688    3  4928    0  4864   0
 793  15264    3  5120    0  5056   0
 794  15840    3  5312    0  5248   0
 795  16416    3  5504    0  5440   0
 796  16992    3  5696    0  5632   0
 797  17568    3  5888    0  5824   0
 798  18336    3  6144    0  6080   0
 799  19080    4  4800    0  4736   0
 800  15264    3  5120    0  5056   0
 801  16416    3  5504    0  5440   0
 802  16992    3  5696    0  5632   0
 803  17568    3  5888    0  5824   0
 804  18336    3  6144    0  6080   0
 805  19080    4  4800    0  4736   0
 806  19848    4  4992    0  4928   0
 807  20616    4  5184    0  5120   0
 808  21384    4  5376    0  5312   0
 809  22152    4  5568    0  5504   0
 810    840    1   864    0     0   0
 811    872    1   896    0     0   0
 812    904    1   928    0     0   0
 813    936    1   960    0     0   0
 814    968    1   992    0     0   0
 815   1000    1  1024    0     0   0
 816   1032    1  1056    0     0   0
 817   1032    1  1056    0     0   0
 818   1064    1  1088    0     0   0
 819   1096    1  1120    0     0   0
 820   1128    1  1152    0     0   0
 821   1160    1  1184    0     0   0
 822   1192    1  1216    0     0   0
 823   1224    1  1248    0     0   0
 824   1256    1  1280    0     0   0
